ukraine	43,922,083	22,400,262	15,680,184	470,406	1,245,000 (est.)	255,000	900,000	90,000	285	42	25	31	71	5	0	111	34	2,430	11,435	785	2,040	550	25	0	0	0	1	0	0	11	1	32,000 bbl	325,000 bbl	395,000,000 bbl	17,990,000	408	6	169,495 km	21,658 km	187	$9,600,000,000 usd	$130,000,000,000 usd	$18,810,000,000 usd	$378,450,000,000 usd	603,550 km	2,782 km 	5,618 km	2,150 km	
france	67,848,156	29,853,189	23,584,019	778,273	450,000 (est.)	270,000	35,000	145,000	1,057	269	0	118	169	46	23	432	69	406	6,420	109	12	13	180	1	3	11	11	0	10	15	17	16,000 bbl	1,600,000 bbl	65,970,000 bbl	27,742,000	552	17	951,200 km	29,640 km	464	$47,700,000,000 usd	$5,360,000,000,000 usd	$156,400,000,000 usd	$2,904,000,000,000 usd	643,801 km	4,853 km 	4,072 km	8,501 km	
