country	total population	 availablemanpower	 fitforservice	 reachingmilitaryage	 total military power 	 active personel	 reservepersonel	 paramilitary	 TOTAL AIRFORCE 	 fighters	 dedicated attack	 transports	 trainers 	 special mission 	 tanker fleet 	 helicopters 	 attack helicopters	 tanks 	 armored vehicles 	 selfpropeled artilery	 tower artilery 	 rocketprojectors 	 TOTALNAVAL 	 aircraft carriers 	 helicopter carrier	 destroyer 	 frigates	 corvetes 	 submarines 	 patrol 	 minewarfare	 oil production 	 oil consumption 	 proven oil reserves	 labor force	 mechanr marine	 ports and terminals 	 roadwaycoverage 	 railway coverage 	 servicable airports 	 defense budget 	 external debt 	 res of foureign exchange/gold 	 purchasing power parity	 square land area 	 coastline coverage 	 shared borders 	 usable waterways
kazakhstan	19091949	8591377	6529447	261178	167000 	135000	0	32000	238	80	39	20	24	0	0	75	22	300	1200	246	450	407	15	0	0	0	0	0	0	15	2	1855000 	245000 	30000000000 	8685000	124	5	97418 	15333 	96	4000000000 	167500000000 	30750000000 	489500000000 	2724900 	26  	13364 	0 	
latvia	1881232	846554	677244	16254	21300 	5300	16000	0	4	0	0	0	0	0	0	4	0	0	310	45	10	0	18	0	0	0	0	0	0	11	6	0 	32500 	0 	885000	58	2	72440 	2239 	42	750000000 	40020000000 	4614000000 	55755000000 	64589 	498  	1370 	300 	
lithuania	2731464	1775452	1384852	38776	53000 	18500	20000	14500	10	0	0	5	0	0	0	5	0	0	650	16	35	0	12	0	0	0	0	0	0	4	4	2000 	72400 	12000000 	1333000	58	3	84166 	1767 	61	880000000 	34480000000 	4450000000 	94000000000 	65300 	90  	1545 	441 	
macedonia	2125971	943616	780711	27325	20500 	8000	5000	7500	20	0	0	0	10	0	0	10	4	31	250	0	140	24	0	0	0	0	0	0	0	0	0	0 	18500 	0 	793000	0	0	14182 	700 	10	108152512 	8790000000 	2802000000 	31500000000 	25713 	0  	838 	280 	
moldova	3364496	2018698	1675519	67021	66200 	5200	60000	1000	3	0	0	1	0	0	0	2	0	0	341	9	69	25	0	0	0	0	0	0	0	0	0	0 	16320 	0 	1295000	142	0	9352 	1171 	7	25000000 	6549000000 	2803000000 	22720000000 	33851 	0  	1885 	558 	
montenegro	609859	146366	86356	3368	12000 	2000	0	10000	10	0	0	0	0	0	0	10	0	0	100	0	12	18	18	0	0	0	0	0	0	5	0	0 	4860 	0 	167000	12	1	7762 	250 	5	75000000 	2516000000 	1077000000 	11500000000 	13812 	294  	680 	0 	
netherlands	17280397	7776179	6298705	195260	46000 	35500	4500	6000	165	49	4	4	29	0	1	78	28	18	1140	57	0	0	63	0	0	0	6	0	4	4	6	18000 	840000 	81130000 	8907000	1217	6	139295 	3013 	29	14542000000 	4063000000000 	38440000000 	946500000000 	41543 	451  	1053 	6237 	
norway	5467439	2186976	1793320	71733	64000 	24000	40000	0	156	44	18	4	32	8	0	50	0	36	725	80	0	12	62	0	0	0	4	6	6	16	6	1515000 	260000 	6376000000 	2699000	1576	11	93509 	4169 	95	7501000000 	642300000000 	65920000000 	386500000000 	323802 	25148  	2566 	1577 	
poland	38282325	18758339	15381838	461455	193500 	120000	0	73500	469	91	0	49	113	9	0	207	30	863	5125	529	0	200	87	0	0	0	2	2	3	3	21	21000 	585000 	126000000 	9561000	144	4	423997 	19428 	126	10780000000 	241000000000 	113300000000 	1166500000000 	312685 	440  	2845 	3997 	
portugal	10302674	4842257	3970651	119120	267500 	30500	212000	25000	95	24	0	16	25	9	0	17	0	37	655	18	20	0	41	0	0	0	5	2	2	18	0	0 	265000 	0 	4717000	624	4	82900 	3319 	64	3360000000 	449000000000 	26110000000 	320500000000 	92090 	1793  	1224 	210 	
